datetime,A_sigma,B_sigma,C_sigma,D_sigma,E_sigma,F_sigma,G_sigma,H_sigma,I_sigma,J_sigma,K_sigma,L_sigma,M_sigma,N_sigma,O_sigma,P_sigma,Q_sigma,U_sigma,A_count,B_count,C_count,D_count,E_count,F_count,G_count,H_count,I_count,J_count,K_count,L_count,M_count,N_count,O_count,P_count,Q_count,U_count,mean,count,sigma
2013-05-01 00:00:00,28.0269999,1.9340000000000002,16.635,36.32499999999999,194.45599950000002,66.24899989999997,18.244,47.725999999999964,6.2940000000000005,26.4540001,20.721999899999997,34.52500000000002,10.865999999999996,13.610999999999995,8.023,42.0689999,81.48999999999998,3.879,115,19,114,205,1176,515,146,359,40,74,136,250,86,119,71,85,683,37,0.15544420784869975,4230,657.5289991999999
2013-05-01 00:30:00,26.896,1.934,14.725,34.29899999999999,179.29999970000014,59.094000000000015,18.792999999999996,45.14300000000003,4.9270000000000005,23.089,16.646999999999995,32.204999999999984,10.185000000000002,12.374000000000002,9.006,37.4729999,75.05699990000005,3.598,115,20,114,204,1176,518,154,367,41,75,137,256,93,124,82,87,684,37,0.14116363200280116,4284,604.7449995000002
2013-05-01 01:00:00,25.740999999999993,2.068,13.618999999999996,30.478999999999996,165.26200010000017,56.87900010000002,16.532000000000004,39.17700000000002,4.392,13.469000100000004,14.314000000000005,28.329000000000008,10.493000000000006,11.748999999999997,8.379000000000003,29.0849999,70.091,5.260000000000001,115,20,114,204,1176,517,154,367,41,75,137,256,93,124,82,87,684,37,0.12732150366565498,4283,545.3180002000003
2013-05-01 01:30:00,22.92099999999999,1.9779999999999998,13.409000000000002,28.86899999999999,151.0570000000002,53.851000000000006,15.736999999999998,38.75800000000004,4.279999999999999,11.311999900000002,13.505999999999995,28.287000000000006,9.722999999999999,10.534,8.184999999999999,21.241000000000007,66.04199989999995,4.390000000000001,115,20,114,204,1176,518,154,367,41,75,137,256,93,124,82,87,684,37,0.1176657329131653,4284,504.07999980000017
2013-05-01 02:00:00,24.048999900000005,2.092,13.431999999999999,29.625999900000018,144.06799999999993,51.687999999999995,14.360999999999994,38.16799999999999,4.225,8.993,12.504999999999997,26.760000000000012,9.407,10.366999999999997,7.8670000999999985,17.7329999,58.9909999,3.623999999999999,115,20,114,204,1176,518,154,367,41,75,137,256,93,124,82,87,684,37,0.11156769367413631,4284,477.95599969999995
2013-05-01 02:30:00,23.56300010000001,1.984,13.53,27.946999999999985,140.3340003000003,49.876999999999995,14.366999999999997,39.948999999999984,4.197,10.211999999999998,13.209999999999999,25.24999999999999,8.83,11.102000000000002,8.568999999999999,13.260999999999997,57.53999999999996,3.338,115,20,114,204,1176,518,154,367,41,75,137,256,93,124,82,87,684,37,0.1090242764705883,4284,467.06000040000026
2013-05-01 03:00:00,23.974999999999998,1.9090000000000003,13.311000000000002,27.674000000000007,140.2809998000001,48.579,15.005999899999997,38.082000000000015,3.6789999999999994,10.427000099999999,14.026999999999997,26.48499999999999,9.197000000000003,10.687999999999997,7.985000000000001,9.318999999999996,53.94600010000001,3.3510000000000004,115,20,114,204,1176,518,154,367,41,75,137,256,93,124,82,87,684,37,0.10689098970588237,4284,457.9209999000001
2013-05-01 03:30:00,24.2580001,2.013,13.073999999999996,28.743,132.3250001,47.27300000000003,17.50599990000001,39.37,3.826999999999999,10.7600001,13.096000000000002,27.680999999999997,9.179000000000002,10.888999999999998,8.885,7.630999999999998,52.92199999999996,3.1760000000000006,115,20,114,204,1176,517,154,367,41,75,137,256,93,124,82,87,684,37,0.10567546117207564,4283,452.6080002
2013-05-01 04:00:00,24.41300000000001,2.0060000000000002,14.024999999999995,28.90000010000001,134.94800000000006,49.61799999999996,15.665999999999993,41.57699999999996,3.8409999999999997,11.026999999999997,12.998999999999997,27.219,8.970999999999998,11.909,7.590999999999998,7.135999999999997,58.12499999999995,4.002999999999999,115,20,114,204,1176,518,154,367,41,75,137,256,93,124,82,87,684,37,0.1083039215919701,4284,463.9740000999999
2013-05-01 04:30:00,25.655999999999995,2.489,14.953999999999999,29.28000000000001,149.75799999999984,54.028999999999975,18.862,44.692999999999955,4.29,11.887999999999998,14.789000000000003,29.372999999999998,11.209,13.395999999999997,7.946999999999999,6.67,62.5539998,4.312,115,20,114,204,1176,517,154,367,41,75,137,256,93,124,82,87,684,37,0.11817627826289978,4283,506.1489997999998
2013-05-01 05:00:00,27.34300009999999,2.766,16.401000000000007,30.287999999999993,165.74600030000008,62.71300000000008,17.229000000000003,52.675999799999985,4.363999999999999,12.932,21.585000100000002,31.198000100000012,14.064999900000009,16.365000000000006,8.448999999999998,8.121,60.19000000000002,3.857,115,20,114,204,1176,518,154,367,41,75,137,256,93,124,82,87,684,37,0.1298524743930906,4284,556.2880003000001
2013-05-01 05:30:00,31.000999799999995,3.3330000000000006,20.373,38.35200000000001,193.11300039999998,70.86000000000003,25.7180001,64.59500010000004,5.506999999999999,13.353000100000001,23.109,44.46799999999997,14.211999999999998,18.785,10.833999999999996,9.101,69.03200000000002,4.811,115,20,114,204,1176,518,154,367,41,75,137,256,93,124,82,87,684,37,0.15419164344070962,4284,660.5570005000001
2013-05-01 06:00:00,36.255,3.363,24.451000099999998,52.65499990000001,220.13900029999994,86.36699999999992,27.269000000000005,73.60700010000002,8.525,16.450999999999997,25.449999999999992,45.48000000000003,18.715000000000003,21.399999900000005,10.271999999999997,14.806999999999999,79.2350000000001,6.183999999999999,115,20,114,204,1176,518,154,367,41,75,137,256,93,124,82,87,684,37,0.17988445385154062,4284,770.6250003
2013-05-01 06:30:00,49.64100009999999,4.726999999999999,29.565000100000006,60.327999999999996,265.1419995999997,99.14300010000007,37.18200019999999,85.85100009999998,6.317,22.269000099999996,27.146999999999995,53.2240002,19.33899989999999,21.01300000000001,13.505000000000003,14.474,91.49300009999983,9.513000000000002,115,20,114,204,1176,518,154,367,41,75,137,256,93,124,82,87,684,37,0.2123886555788981,4284,909.8730004999995
2013-05-01 07:00:00,52.578,4.906000000000001,26.28700000000001,59.77200000000003,262.5369997999999,103.2929997,35.249999899999985,93.79000000000002,6.922000000000001,19.285999899999997,27.70399999999999,53.74599980000003,17.762000000000004,23.644999999999992,16.226000000000003,9.634,103.75099989999994,12.325000100000004,115,20,114,204,1176,518,154,367,41,75,137,256,93,124,82,87,684,37,0.21695004647525673,4284,929.4139990999998
2013-05-01 07:30:00,49.516000000000005,4.414999999999999,29.048999900000016,62.84600019999997,255.5129995000001,109.50499990000003,33.618999999999986,95.60799989999997,6.944999999999999,18.238,29.279000099999994,53.09200010000001,16.497,28.285,16.618000000000002,9.201000000000004,112.01999990000026,10.427,115,20,114,204,1176,518,154,367,41,75,137,256,93,124,82,87,684,37,0.21957819782913174,4284,940.6729995000004
2013-05-01 08:00:00,48.186000200000024,3.3680000000000003,28.585999999999988,64.27000000000002,242.60100009999985,103.13500009999998,27.777000000000005,85.91900019999997,7.278000000000001,17.570999999999998,26.466000100000013,48.51800009999994,14.598999999999995,23.414000000000005,13.047000000000004,7.495,99.05000009999996,8.114,115,20,114,204,1176,518,154,367,41,75,137,256,93,124,82,87,684,37,0.2029397761204481,4284,869.3940008999997
