Sport,Event Name,Date,Time,Start-Time,End-Time,Broadcaster,Audience,Source,Notes
Horse Racing,Grand National,4/14/2012,16:15,16:00,16:30,BBC,4.07,https://www.barb.co.uk/viewing-data/weekly-top-30/,
Olympics,Usain Bolt 100m,8/5/2012,21:50,21:30,22:00,BBC,20,https://www.bbc.com/news/entertainment-arts-19146054,
Tennis,Wimbledon Men's Final,7/8/2012,14:00,14:00,17:00,BBC,11.5,https://www.theguardian.com/media/2012/dec/12/most-viewed-tv-programmes-in-2012,
Tennis,Wimbledon Women's Final,7/7/2012,14:00,14:00,17:00,BBC,3.95,https://www.barb.co.uk/viewing-data/weekly-top-30/,
Soccer,FA Cup Final,5/5/2012,17:15,17:00,19:00,ITV,4.64,https://en.wikipedia.org/wiki/2012_FA_Cup_Final,
Soccer ,FA Cup Semi-final 1,4/14/2012,12:30,12:30,14:30,ITV,2.74,https://www.barb.co.uk/viewing-data/weekly-top-30/,Liverpool vs. Everton
Soccer,FA Cup Semi-final 2,4/15/2012,18:00,18:00,20:00,ITV,4.47,https://www.barb.co.uk/viewing-data/weekly-top-30/,Spurs vs. Chelsea
Soccer ,League Cup Final,2/26/2012,16:00,16:00,18:00,BBC/Sky,5.9,https://www.barb.co.uk/viewing-data/weekly-top-30/,
Soccer,England vs. France,6/11/2012,17:00,17:00,19:00,ITV,12.6,https://www.theguardian.com/media/2012/dec/12/most-viewed-tv-programmes-in-2012,
Soccer,England vs. Ukraine,6/19/2012,19:45,19:30,21:30,ITV,16.2,https://www.theguardian.com/media/2012/dec/12/most-viewed-tv-programmes-in-2012,
Soccer,England vs. Sweden,6/15/2012,20:00,20:00,22:00,BBC,14.3,https://www.theguardian.com/media/2012/dec/12/most-viewed-tv-programmes-in-2012,
Soccer,England vs. Italy,6/24/2012,19:45,19:30,22:00,BBC,20.3,https://www.theguardian.com/media/2012/dec/12/most-viewed-tv-programmes-in-2012,
Rugby,England vs. Australia,11/17/2012,14:30,14:30,16:30,SKY,0.75,https://en.wikipedia.org/wiki/2012_end-of-year_rugby_union_internationals,sport-onthebox.com/2012/11/05/rugby-union-autumn-internationals-2012-live-on-bbc-sky-sports-espn/
Rugby ,England vs. South Africa,11/24/2012,14:30,14:30,16:30,SKY,0.75,https://en.wikipedia.org/wiki/2012_end-of-year_rugby_union_internationals,sport-onthebox.com/2012/11/05/rugby-union-autumn-internationals-2012-live-on-bbc-sky-sports-espn/
Rugby,England vs. New Zealand,12/1/2012,14:30,14:30,16:30,SKY,0.75,https://en.wikipedia.org/wiki/2012_end-of-year_rugby_union_internationals,sport-onthebox.com/2012/11/05/rugby-union-autumn-internationals-2012-live-on-bbc-sky-sports-espn/
Rugby,England vs. France,3/11/2012,15:00,15:00,17:00,BBC,4.51,https://en.wikipedia.org/wiki/2012_Six_Nations_Championship,https://www.barb.co.uk/viewing-data/weekly-top-30/
Rugby,England vs. Italy,2/11/2012,16:00,16:00,18:00,BBC,5.03,https://en.wikipedia.org/wiki/2012_Six_Nations_Championship,https://www.barb.co.uk/viewing-data/weekly-top-30/
Rugby,England vs. Wales,2/25/2012,16:00,16:00,18:00,BBC,5.66,https://en.wikipedia.org/wiki/2012_Six_Nations_Championship,https://www.barb.co.uk/viewing-data/weekly-top-30/
Rugby,England vs. Ireland,3/17/2012,17:00,17:00,19:00,BBC,5.76,https://en.wikipedia.org/wiki/2012_Six_Nations_Championship,https://www.barb.co.uk/viewing-data/weekly-top-30/
Rugby,England vs. Scotland,2/4/2012,17:00,17:00,19:00,BBC,6.48,https://en.wikipedia.org/wiki/2012_Six_Nations_Championship,https://www.barb.co.uk/viewing-data/weekly-top-30/
Soccer,GB vs. Senegal,7/26/2012,19:45,19:30,22:00,BBC,4.77,https://www.barb.co.uk/viewing-data/weekly-top-30/,
Soccer,GB vs. UAE,7/29/2012,19:45,19:30,22:00,BBC,7.21,https://www.barb.co.uk/viewing-data/weekly-top-30/,
Soccer,GB vs. Uruguay,8/1/2012,19:45,19:30,22:00,BBC,7.49,https://www.barb.co.uk/viewing-data/weekly-top-30/,
Soccer,GB vs. South Korea,8/4/2012,19:30,19:30,21:30,BBC,12.36,https://www.barb.co.uk/viewing-data/weekly-top-30/,
