date,sunrise,sunset
2013-01-01,0 days 08:06:00.000000000,0 days 16:03:00.000000000
2013-02-01,0 days 07:39:00.000000000,0 days 16:50:00.000000000
2013-03-01,0 days 06:46:00.000000000,0 days 17:41:00.000000000
2013-04-01,0 days 06:36:00.000000000,0 days 19:34:00.000000000
2013-05-01,0 days 05:32:00.000000000,0 days 20:24:00.000000000
2013-06-01,0 days 04:49:00.000000000,0 days 21:09:00.000000000
2013-01-02,0 days 08:06:00.000000000,0 days 16:04:00.000000000
2013-02-02,0 days 07:37:00.000000000,0 days 16:52:00.000000000
2013-03-02,0 days 06:43:00.000000000,0 days 17:43:00.000000000
2013-04-02,0 days 06:34:00.000000000,0 days 19:36:00.000000000
2013-05-02,0 days 05:31:00.000000000,0 days 20:26:00.000000000
2013-06-02,0 days 04:48:00.000000000,0 days 21:10:00.000000000
2013-01-03,0 days 08:06:00.000000000,0 days 16:05:00.000000000
2013-02-03,0 days 07:36:00.000000000,0 days 16:54:00.000000000
2013-03-03,0 days 06:41:00.000000000,0 days 17:45:00.000000000
2013-04-03,0 days 06:31:00.000000000,0 days 19:37:00.000000000
2013-05-03,0 days 05:29:00.000000000,0 days 20:27:00.000000000
2013-06-03,0 days 04:48:00.000000000,0 days 21:11:00.000000000
2013-01-04,0 days 08:06:00.000000000,0 days 16:06:00.000000000
2013-02-04,0 days 07:34:00.000000000,0 days 16:56:00.000000000
2013-03-04,0 days 06:39:00.000000000,0 days 17:46:00.000000000
2013-04-04,0 days 06:29:00.000000000,0 days 19:39:00.000000000
2013-05-04,0 days 05:27:00.000000000,0 days 20:29:00.000000000
2013-06-04,0 days 04:47:00.000000000,0 days 21:12:00.000000000
2013-01-05,0 days 08:05:00.000000000,0 days 16:07:00.000000000
2013-02-05,0 days 07:32:00.000000000,0 days 16:58:00.000000000
2013-03-05,0 days 06:37:00.000000000,0 days 17:48:00.000000000
2013-04-05,0 days 06:27:00.000000000,0 days 19:41:00.000000000
2013-05-05,0 days 05:25:00.000000000,0 days 20:31:00.000000000
2013-06-05,0 days 04:46:00.000000000,0 days 21:13:00.000000000
